Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,Open,High,Low,Close,Adj Close,Volume
1957-10-01,41.24,1.77,3.44,28.3,3.97,364.07,15.63,30.34,14.15,42.759998,43.139999,38.98,41.060001,41.060001,63960000
1957-11-01,40.35,1.78,3.4,28.4,3.72,354.96,15.66,29.94,13.74,40.439999,41.720001,39.439999,41.720001,41.720001,48200000
1957-12-01,40.33,1.79,3.37,28.4,3.21,354.78,15.75,29.65,13.67,41.360001,41.540001,39.380001,39.990002,39.990002,54440000
1958-01-01,41.12,1.78,3.29,28.6,3.09,359.2,15.58,28.77,13.79,40.330002,41.880001,40.330002,41.700001,41.700001,49830000
1958-02-01,41.26,1.78,3.22,28.6,3.05,360.43,15.52,28.1,13.78,42.040001,42.459999,40.610001,40.84,40.84,40190000
1958-03-01,42.11,1.77,3.14,28.8,2.98,365.3,15.35,27.24,13.93,41.130001,42.580002,41.130001,42.099998,42.099998,46680000
1958-04-01,42.34,1.76,3.07,28.9,2.88,366.02,15.19,26.54,13.91,41.93,43.439999,41.330002,43.439999,43.439999,50270000
1958-05-01,43.7,1.74,3,28.9,2.92,377.78,15.07,25.93,14.32,43.540001,44.09,43.119999,44.09,44.09,54100000
1958-06-01,44.75,1.73,2.93,28.9,2.97,386.86,14.96,25.33,14.64,44.310001,45.34,44.310001,45.240002,45.240002,56610000
1958-07-01,45.98,1.73,2.91,29,3.2,396.12,14.9,25.1,14.96,45.279999,47.189999,45.110001,47.189999,47.189999,69430000
1958-08-01,47.7,1.73,2.9,28.9,3.54,412.36,14.96,25.04,15.54,47.490002,48.16,47.220001,47.75,47.75,62300000
1958-09-01,48.96,1.73,2.88,28.9,3.76,423.25,14.96,24.9,15.93,48,50.060001,47.970001,50.060001,50.060001,71940000
1958-10-01,50.95,1.74,2.88,28.9,3.8,440.45,15.01,24.93,16.56,49.98,51.619999,49.98,51.330002,51.330002,95020000
1958-11-01,52.5,1.74,2.89,29,3.74,452.29,15.02,24.87,16.99,51.560001,53.240002,51.02,52.48,52.48,74350000
1958-12-01,53.49,1.75,2.89,28.9,3.86,462.41,15.13,24.98,17.36,52.689999,55.209999,52.459999,55.209999,55.209999,75940000
1959-01-01,55.62,1.76,2.96,29,4.02,479.17,15.13,25.53,17.98,55.439999,56.040001,54.889999,55.450001,55.450001,83240000
1959-02-01,54.77,1.76,3.04,28.9,3.96,473.48,15.24,26.25,17.76,55.209999,55.52,53.580002,55.41,55.41,65790000
1959-03-01,56.16,1.77,3.11,28.9,3.99,485.49,15.3,26.89,18.2,55.73,56.669998,55.439999,55.439999,55.439999,82430000
1959-04-01,57.1,1.78,3.21,29,4.12,491.92,15.31,27.63,18.43,55.689999,58.169998,55.689999,57.59,57.59,75840000
1959-05-01,57.96,1.78,3.3,29,4.31,499.33,15.36,28.46,18.69,57.650002,58.68,56.880001,58.68,58.68,70950000
1959-06-01,57.46,1.79,3.4,29.1,4.34,493.32,15.37,29.19,18.45,58.630001,58.630001,56.360001,58.470001,58.470001,64310000
1959-07-01,59.74,1.8,3.41,29.2,4.4,511.14,15.37,29.18,19.09,58.970001,60.619999,58.91,60.509998,60.509998,70900000
1959-08-01,59.4,1.8,3.42,29.2,4.43,508.23,15.43,29.26,18.96,60.709999,60.709999,58.27,59.599998,59.599998,51050000
1959-09-01,57.05,1.81,3.43,29.3,4.68,486.45,15.43,29.25,18.12,58.869999,58.919998,55.139999,56.880001,56.880001,57500000
1959-10-01,57,1.82,3.42,29.4,4.53,484.37,15.44,29.03,18.02,56.939999,57.52,56,57.52,57.52,61330000
1959-11-01,57.23,1.82,3.4,29.4,4.53,486.33,15.49,28.92,18.07,57.41,58.279999,56.220001,58.279999,58.279999,64500000
